cohort	cohort_label	sample	species	deduplicated_reads
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL301-P10_S02	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL301-P10_S02	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL301-P10_S02	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL301-P10_S02	HERV	7816
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL301-P5_S05	HTLV1	19402
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL301-P5_S05	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL301-P5_S05	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL301-P5_S05	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL301-P5_S05	HERV	2988
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL239-C1_S08	HTLV1	18438
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL239-C1_S08	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL239-C1_S08	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL239-C1_S08	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL239-C1_S08	HERV	3299
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL305-P10_S06	HTLV1	18307
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL305-P10_S06	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL305-P10_S06	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL305-P10_S06	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL305-P10_S06	HERV	7329
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL208-C2_S03	HTLV1	17833
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL208-C2_S03	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL208-C2_S03	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL208-C2_S03	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL208-C2_S03	HERV	4304
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL252-C1_S07	HTLV1	15682
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL252-C1_S07	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL252-C1_S07	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL252-C1_S07	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL252-C1_S07	HERV	8600
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL215-C2_S06	HTLV1	14864
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL215-C2_S06	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL215-C2_S06	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL215-C2_S06	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL215-C2_S06	HERV	7598
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL210-C2_S05	HTLV1	14357
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL210-C2_S05	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL210-C2_S05	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL210-C2_S05	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL210-C2_S05	HERV	7020
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL302-P5_S06	HTLV1	12862
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL302-P5_S06	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL302-P5_S06	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL302-P5_S06	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL302-P5_S06	HERV	1110
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL217-C1_S09	HTLV1	12446
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL217-C1_S09	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL217-C1_S09	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL217-C1_S09	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL217-C1_S09	HERV	6858
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL327-P2_S06	HTLV1	11522
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL327-P2_S06	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL327-P2_S06	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL327-P2_S06	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL327-P2_S06	HERV	7031
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL306-P1_S03	HTLV1	9756
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL306-P1_S03	HTLV2	0
